t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,288.0,798.0,810.0,4.0,1.165685424949238,85.8,0.0
500.0,289.0,800.0,812.0,5.0,1.1380711874576983,88.66666666666667,0.0
500.0,290.0,801.0,812.0,2.0,1.1380711874576983,90.33333333333331,0.0
500.0,291.0,805.0,857.0,14.0,1.0276142374915398,83.8,0.0
500.0,292.0,807.0,806.0,4.0,1.082842712474619,89.6,0.0
500.0,293.0,808.0,797.0,2.0,1.1380711874576983,85.33333333333333,0.0
500.0,294.0,813.0,831.0,7.0,1.0,82.875,0.0
500.0,295.0,814.0,820.0,2.0,1.804737854124365,116.0,0.0
500.0,296.0,818.0,827.0,5.0,1.1666666666666667,105.33333333333331,0.0
500.0,297.0,825.0,863.0,10.0,1.0376557783975542,83.63636363636364,0.0
500.0,298.0,829.0,879.0,11.0,1.117851130197758,90.91666666666669,0.0
500.0,299.0,830.0,816.0,7.0,1.2803300858899107,100.5,0.0
500.0,300.0,834.0,804.0,19.0,1.1535533905932738,86.35,0.0
500.0,301.0,835.0,804.0,8.0,1.0460237291525665,85.33333333333333,0.0
500.0,302.0,840.0,879.0,9.0,1.182842712474619,92.3,0.0
500.0,303.0,842.0,810.0,10.0,1.1506231135902163,79.9090909090909,0.0
500.0,304.0,844.0,874.0,7.0,1.2285533905932735,107.75,0.0
500.0,305.0,846.0,824.0,7.0,1.0,88.25,0.0
500.0,306.0,848.0,799.0,15.0,1.1915309438903736,92.625,0.0
500.0,307.0,850.0,831.0,5.0,1.0,83.83333333333333,0.0
500.0,308.0,851.0,861.0,7.0,1.5088834764831844,105.25,0.0
500.0,309.0,852.0,912.0,12.0,4.713752700293626,163.69230769230768,0.0
500.0,310.0,854.0,845.0,4.0,1.282842712474619,95.4,0.0
500.0,311.0,860.0,877.0,3.0,1.2071067811865477,84.0,0.0
500.0,312.0,862.0,857.0,2.0,1.1380711874576983,84.0,0.0
500.0,313.0,864.0,847.0,4.0,1.530056307974577,110.8,0.0
500.0,314.0,866.0,849.0,7.0,1.2285533905932735,90.375,0.0
500.0,315.0,868.0,863.0,2.0,1.1380711874576983,93.33333333333331,0.0
500.0,316.0,870.0,942.0,14.0,1.0276142374915398,98.93333333333334,0.0
500.0,317.0,871.0,886.0,2.0,1.1380711874576983,88.0,0.0
500.0,318.0,875.0,849.0,5.0,1.60947570824873,109.0,0.0
500.0,319.0,881.0,856.0,11.0,1.3392556509887896,100.16666666666669,0.0
500.0,320.0,883.0,919.0,8.0,1.4063171388324869,107.44444444444444,0.0
500.0,321.0,884.0,907.0,5.0,2.8187811774715423,123.0,0.0
500.0,322.0,891.0,877.0,2.0,1.2761423749153966,87.0,0.0
500.0,323.0,892.0,958.0,12.0,1.254395060720405,96.6153846153846,0.0
500.0,324.0,894.0,939.0,9.0,1.0,85.7,0.0
500.0,325.0,895.0,940.0,10.0,1.1129673351926623,78.9090909090909,0.0
500.0,326.0,896.0,951.0,10.0,1.128564869306645,81.36363636363636,0.0
500.0,327.0,900.0,924.0,9.0,1.4307135789365266,99.0,0.0
500.0,328.0,901.0,937.0,10.0,1.112967335192662,90.45454545454544,0.0
500.0,329.0,902.0,869.0,6.0,1.2020305089104422,95.28571428571428,0.0
500.0,330.0,903.0,893.0,2.0,1.1380711874576983,87.33333333333333,0.0
500.0,331.0,906.0,911.0,13.0,1.18977530353517,100.35714285714286,0.0
500.0,332.0,908.0,912.0,17.0,5.2956703246560695,184.94444444444449,0.0
500.0,333.0,910.0,915.0,4.0,1.2,89.2,0.0
500.0,334.0,916.0,926.0,2.0,1.1380711874576983,85.66666666666667,0.0
500.0,335.0,917.0,936.0,10.0,4.448696802332629,120.0,0.0
500.0,336.0,918.0,904.0,3.0,1.5590169943749477,118.75,0.0
500.0,337.0,921.0,920.0,7.0,3.8156685220522486,155.375,0.0
500.0,338.0,922.0,933.0,2.0,1.1380711874576983,90.33333333333331,0.0
500.0,339.0,923.0,885.0,8.0,1.0,83.88888888888889,0.0
500.0,340.0,925.0,972.0,8.0,1.0460237291525665,87.33333333333333,0.0
500.0,341.0,928.0,1018.0,16.0,1.1806510477567926,87.23529411764706,0.0
500.0,342.0,929.0,905.0,6.0,1.4632343838741837,106.57142857142856,0.0
500.0,343.0,930.0,926.0,5.0,1.1380711874576983,86.16666666666667,0.0
500.0,344.0,931.0,991.0,15.0,1.3834726821319658,87.9375,0.0
500.0,345.0,934.0,940.0,3.0,1.1035533905932735,86.5,0.0
500.0,346.0,941.0,942.0,2.0,1.0,96.0,0.0
500.0,347.0,944.0,933.0,3.0,1.1035533905932735,90.5,0.0
500.0,348.0,948.0,978.0,7.0,1.051776695296637,88.25,0.0
500.0,349.0,949.0,939.0,4.0,1.0,84.8,0.0
500.0,350.0,950.0,1020.0,19.0,1.298528137423857,93.65,0.0
500.0,351.0,954.0,937.0,2.0,1.0,84.33333333333333,0.0
500.0,352.0,955.0,876.0,15.0,1.114276695296637,85.9375,0.0
500.0,353.0,956.0,982.0,5.0,1.304737854124365,85.5,0.0
