t,y,x,vertex_id,is_tip,origin,vertex_connected
500,542,461,702,1,0,0
500,542,647,703,1,0,0
500,543,1264,711,1,0,0
500,544,314,713,1,0,0
500,544,341,714,1,0,0
500,544,642,718,1,0,0
500,545,521,723,1,0,0
500,545,730,724,1,0,0
500,546,617,729,1,0,0
500,546,853,730,1,0,0
500,547,949,733,1,0,0
500,548,1276,738,1,0,0
500,549,345,739,1,0,0
500,549,392,740,1,0,0
500,550,1278,752,1,0,0
500,551,280,753,1,0,0
500,552,292,756,1,0,0
500,553,975,760,1,0,0
500,556,678,768,1,0,0
500,558,415,774,1,0,0
500,558,1047,776,1,0,0
500,561,399,780,1,0,0
500,562,850,783,1,0,0
500,562,1247,785,1,0,0
500,563,382,787,1,0,0
500,563,405,788,1,0,0
500,564,547,791,1,0,0
500,564,667,793,1,0,0
500,564,1025,794,1,0,0
500,564,1241,795,1,0,0
500,566,439,798,1,0,0
500,566,685,800,1,0,0
500,566,691,801,1,0,0
500,567,678,805,1,0,0
500,567,845,807,1,0,0
500,567,1021,808,1,0,0
500,568,764,813,1,0,0
500,568,1264,814,1,0,0
500,569,1256,818,1,0,0
500,573,809,825,1,0,0
500,574,302,829,1,0,0
500,574,448,830,1,0,0
500,575,347,834,1,0,0
500,575,367,835,1,0,0
500,576,295,840,1,0,0
500,577,442,842,1,0,0
500,577,621,844,1,0,0
500,578,888,846,1,0,0
500,579,588,848,1,0,0
500,579,770,850,1,0,0
500,579,1241,851,1,0,0
500,579,1324,852,1,2,0
500,580,866,854,1,0,0
500,581,1085,860,1,0,0
500,582,679,862,1,0,0
500,582,1287,864,1,2,0
500,583,704,866,1,0,0
500,583,806,868,1,0,0
500,583,1256,870,1,0,0
500,584,480,871,1,0,0
500,584,693,875,1,0,0
500,585,602,881,1,0,0
500,585,1272,883,1,0,0
500,585,1280,884,1,0,0
500,586,1085,891,1,0,0
500,588,584,892,1,0,0
500,588,941,894,1,0,0
500,588,1184,895,1,0,0
500,588,1212,896,1,0,0
500,589,703,900,1,0,0
500,589,773,901,1,0,0
500,589,972,902,1,0,0
500,590,639,903,1,0,0
500,590,1079,906,1,0,0
500,590,1336,908,1,2,0
500,591,817,910,1,0,0
500,592,1054,916,1,0,0
500,592,1301,917,1,2,0
500,593,662,918,1,0,0
500,593,1289,921,1,0,0
500,594,404,922,1,0,0
500,594,454,923,1,0,0
500,594,876,925,1,0,0
500,595,924,928,1,0,0
500,595,963,929,1,0,0
500,595,1049,930,1,0,0
500,595,1128,931,1,0,0
500,596,1192,934,1,0,0
500,597,1254,941,1,0,0
500,598,403,944,1,0,0
500,598,857,948,1,0,0
500,598,935,949,1,0,0
500,598,1039,950,1,0,0
500,599,777,954,1,0,0
500,599,988,955,1,0,0
500,599,1218,956,1,0,0
500,600,1290,965,1,0,0
500,601,986,967,1,0,0
500,601,1200,968,1,0,0
500,602,409,970,1,0,0
500,603,1112,974,1,0,0
500,604,1271,984,1,0,0
500,605,1128,987,1,0,0
500,605,1273,988,1,0,0
500,606,801,989,1,0,0
500,607,1180,992,1,0,0
500,608,1078,996,1,0,0
500,608,1322,998,1,2,0
500,609,549,999,1,0,0
500,609,600,1000,1,0,0
500,609,867,1001,1,0,0
500,610,267,1004,1,0,0
500,610,571,1007,1,0,0
500,611,1079,1021,1,0,0
500,611,1091,1022,1,0,0
500,613,262,1028,1,0,0
500,613,533,1030,1,0,0
500,613,1085,1033,1,0,0
500,614,1189,1041,1,0,0
500,615,350,1042,1,0,0
500,618,579,1060,1,0,0
500,618,634,1061,1,0,0
500,618,898,1063,1,0,0
500,618,998,1065,1,0,0
500,618,1285,1070,1,2,0
500,619,688,1071,1,0,0
500,620,200,1073,1,2,0
500,620,282,1074,1,0,0
500,620,426,1076,1,0,0
500,620,655,1077,1,0,0
500,621,947,1085,1,0,0
500,622,219,1086,1,2,0
500,622,335,1087,1,0,0
500,622,623,1088,1,0,0
500,622,1217,1094,1,0,0
500,623,183,1097,1,2,0
500,623,885,1100,1,0,0
500,623,887,1101,1,0,0
500,623,949,1102,1,0,0
500,623,1016,1103,1,0,0
500,623,1252,1106,1,0,0
500,625,953,1113,1,0,0
500,625,1137,1115,1,0,0
500,626,226,1117,1,0,0
500,626,468,1119,1,0,0
500,626,876,1120,1,0,0
500,626,1095,1122,1,0,0
500,627,874,1126,1,0,0
500,628,1133,1133,1,0,0
500,628,1297,1134,1,2,0
500,629,878,1136,1,0,0
500,630,1280,1141,1,2,0
500,631,233,1143,1,0,0
500,631,434,1144,1,0,0
500,631,560,1145,1,0,0
500,631,1086,1147,1,0,0
500,631,1290,1150,1,2,0
500,632,359,1152,1,0,0
500,632,970,1153,1,0,0
500,632,1124,1154,1,0,0
500,633,1212,1156,1,0,0
500,634,842,1158,1,0,0
500,635,1280,1168,1,2,0
500,635,1288,1169,1,2,0
500,636,599,1174,1,0,0
500,636,1320,1178,1,2,0
